Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NUE,"Nucor Corp",63.7,-1.02,-1.58%,64.7,63.62,1747500,10/09/18
NVDA,"Nvidia Corp",265.54,-0.23,-0.09%,268.76,262.8,6837400,10/09/18
NWL,"Newell Rubbermaid Inc",18.72,-0.59,-3.06%,19.33,18.6,6213500,10/09/18
NWS,"News Cp Cl B Cmn ST",13.73,0.1,+0.73%,13.9,13.59,793200,10/09/18
NWSA,"News Cp Cl A Cmn ST",13.48,0.16,+1.20%,13.52,13.26,5855900,10/09/18
O,"Realty Income Corp",58.57,0.49,+0.84%,58.78,57.94,2969200,10/09/18
OKE,"Oneok Inc",68.72,0.32,+0.47%,68.89,68.21,1333300,10/09/18
OMC,"Omnicom Group Inc",71.7,-0.65,-0.90%,73.12,71.43,3499100,10/09/18
ORCL,"Oracle Corp",48.87,-0.49,-0.99%,49.4,48.83,19009799,10/09/18
ORLY,"O'Reilly Automotive",345.56,1.22,+0.35%,349.67,344.52,504300,10/09/18
OXY,"Occidental Petroleum Corp",82.23,0.48,+0.59%,82.81,81.58,3328600,10/09/18
PAYX,"Paychex Inc",72.5,0.14,+0.19%,73.49,72.21,1522200,10/09/18
PBCT,"People's United Finl",17.19,-0.09,-0.52%,17.35,17.13,2171900,10/09/18
PCAR,"Paccar Inc",66.36,-1.77,-2.60%,68.36,66.28,1501100,10/09/18
PCG,"Pacific Gas & Electric Co",48.55,0.63,+1.31%,48.85,47.83,6681800,10/09/18
PEG,"Public Service Enterprise Group Inc",54.07,0.55,+1.03%,54.28,53.47,3339000,10/09/18
PEP,"Pepsico Inc",108.12,-0.07,-0.06%,108.94,107.52,4105600,10/09/18
PFE,"Pfizer Inc",45.47,0.19,+0.42%,45.81,44.79,20386100,10/09/18
PFG,"Principal Financial Group Inc",60.21,-0.44,-0.73%,60.64,59.63,1139600,10/09/18
PG,"Procter & Gamble Company",82.2,-0.2,-0.24%,82.72,82.06,6268000,10/09/18
PGR,"Progressive Corp",71.83,0.8,+1.13%,72.02,70.95,3643200,10/09/18
PH,"Parker-Hannifin Corp",178.36,-3.11,-1.71%,181.14,178.08,682500,10/09/18
PHM,Pultegroup,23.86,-0.34,-1.40%,24.24,23.6,4930000,10/09/18
PKG,"Packaging Corporation of America",93.14,-8.24,-8.13%,98.85,92.57,3136500,10/09/18
PKI,Perkinelmer,90.75,0.05,+0.06%,91.6,90,547900,10/09/18
PLD,"Prologis Inc",67.06,0.86,+1.30%,67.17,65.88,3117100,10/09/18
PM,"Philip Morris International Inc",84.63,-0.26,-0.31%,85.48,84.63,5369000,10/09/18
PNC,"PNC Bank",138.7,-1.05,-0.75%,140.05,138,1770400,10/09/18
PNR,"Pentair Ltd",41.71,-0.94,-2.20%,42.59,41.69,1148000,10/09/18
PNW,"Pinnacle West Capital Corp",83.32,0.55,+0.66%,83.78,82.68,945700,10/09/18
PPG,"PPG Industries",98.56,-11.02,-10.06%,101.92,98.31,10425600,10/09/18
PPL,"PPL Corp",30.42,-0.08,-0.26%,30.66,30.3,4205500,10/09/18
PRGO,"Perrigo Company",71.49,-1.31,-1.80%,71.58,68.3,4349200,10/09/18
PRU,"Prudential Financial Inflation Retail",105.95,-0.04,-0.04%,106.55,104.56,2334000,10/09/18
PSA,"Public Storage",200.94,-0.25,-0.12%,201.45,199.75,849700,10/09/18
PSX,"Phillips 66",117.68,-0.46,-0.39%,119.14,117.11,2263600,10/09/18
PVH,"Phillips-Van Heusen Corp",134.62,0.19,+0.14%,136.3,132.91,995300,10/09/18
PWR,"Quanta Services",32.41,-0.15,-0.46%,32.65,32.33,1101000,10/09/18
PX,Praxair,161.18,-3.13,-1.90%,163.74,161,1510300,10/09/18
PXD,"Pioneer Natural Resources Co",187.92,6.08,+3.34%,189.78,181.66,2097000,10/09/18
